ipa	members
hɔːd	hawed hoard horde
hɔːz	haws hawse whores
haɪ	hi hie high
həʊ	ho hoe hough
həʊz	hoes hos hose
həʊli	holey holy wholly
həʊmi	homey homie homy
hʊkɐ	hooka hookah hooker
kiː	kea key quay
kiːz	keas keys quays
niːd	knead kneed need
niː	knee nae ne
naɪt	knight night nite
nəʊz	knows noes nose
læk	lac lack lakh
lɔːd	laud lord lured
lɔː	law lore lure
leɪ	lay lei ley
luː	leu lieu loo
laɪə	liar lire lyre
laɪ	li lie lye
ləʊd	load lode lowed
luːp	loop loup loupe
luːz	loos lose lues
lʌks	lucks lux luxe
mænɐ	manna manner manor
mɑːk	marc mark marque
mæt	mat matt matte
mɔːn	maun morn mourn
mɔː	maw moor more
mɔːz	maws moors mores
miːnɐ	meaner mina myna
miːt	meat meet mete
miːts	meats meets metes
maɪnɐ	miner minor mynah
mʌlɐ	mulla mullah muller
peə	pair pare pear
pɔːd	pawed pored poured
pɔːɹɪŋ	pawing poring pouring
piːkɪŋ	peaking peeking piquing
piːk	peak peek peke
piː	p pea pee
piːz	peas pease pees
pɪks	picks pics pix
paɪ	pi pie pye
puːd	pood pooed poohed
puːf	poof pouf pouffe
pɹeɪz	praise prays preys
pʌkɐ	pucka pucker pukka
ɹeɪnd	rained reigned reined
ɹeɪn	rain reign rein
ɹeɪnɪŋ	raining reigning reining
ɹeɪnz	rains reigns reins
ɹeɪzd	raised rased razed
ɹeɪz	raise rays raze
ɹæpt	rapped rapt wrapped
ɹɪɡɐ	rigger rigor rigour
ɹɪɡəz	riggers rigors rigours
ɹuːd	rood rude rued
ɹuː	roo roux rue
sæks	sacks sacs sax
sɔːd	sawed soared sword
sɔː	saw soar sore
sɔːz	saws soars sores
siːz	seas sees seize
səʊn	sewn sone sown
ʃɔː	shaw shore sure
ʃiə	shear sheer shier
sɪks	sicks sics six
saɪn	sign sine syne
səʊld	sold soled souled
sʌnz	sones sons suns
sʌkɐ	sucker sucre sukkah
teɪl	tail taille tale
tiːz	teas tease tees
tiː	t tea tee
θɹuː	threw through thru
təʊd	toad toed towed
tʌnz	tonnes tons tuns
tʌn	ton tonne tun
tuː	to too two
tɔːɹɐ	tora torah tourer
juː	u yew you
veɪn	vain vane vein
weɪlz	wails wales whales
weɪl	wail wale whale
weəz	wares wears wheres
wɔː	war waw wore
wɒt	watt what wot
weɪ	way weigh whey
wiːld	weald wheeled wield
wiːl	weal wheal wheel
wiːn	wean ween wheen
wɛðɐ	weather wether whether
wɜː	were whir whirr
waɪni	whiney whiny winy
wɪz	whiz whizz wiz
wəʊ	whoa wo woe
jɔː	yaw yore your
ɐkædəmi	academe academy
ɐknɒlɪdʒmənt	acknowledgement acknowledgment
ɐknɒlɪdʒmənts	acknowledgements acknowledgments
æd	ad add
ɐdæptɐ	adapter adaptor
ɐdæptəz	adapters adaptors
ɐdʒʌstɐ	adjuster adjustor
ɐdʒʌstəz	adjusters adjustors
ɐdʌltəɹəs	adulteress adulterous
ɐdvaɪzɐ	adviser advisor
ɐdvaɪzəz	advisers advisors
iːɒn	aeon eon
iːɒnz	aeons eons
ɐfeə	affair affaire
ɐfeəz	affaires affairs
eɪdʒɪŋ	ageing aging
eɪdʒɪst	ageist agist
eɪd	aid aide
eɪdz	aides aids
eɪl	ail ale
eɪlz	ails ales
eɪn	ain ane
eəz	airs heirs
aɪəl	aisle isle
aɪəlz	aisles isles
eɪtʃ	aitch h
eɪt	ait eight
ɐlaɪn	align aline
ælɪjɐ	aliya aliyah
ɔːl	all awl
ɐlaʊd	allowed aloud
ɑːmz	alms arms
ɒltɐ	altar alter
ɒltəz	altars alters
æmɐ	amah amour
æmbiəns	ambiance ambience
æmiə	ameer amir
ɑːmi	ami army
æmfɪθiətɐ	amphitheater amphitheatre
ɐniːsθətaɪzd	anaesthetised anaesthetized
ænəlɒɡ	analog analogue
ɑːbɐ	arbor arbour
ɑːk	arc ark
ɑːks	arcs arks
eəɹiəz	areas arias
ɑːɡaɪl	argyle argyll
ɑːvəʊ	arvo avo
ɐsɛndənsi	ascendancy ascendency
ɐsɛnt	ascent assent
ɐsɛnts	ascents assents
æθəniːəm	athenaeum atheneum
ɔːɡɐ	auger augur
ɔːɡəz	augers augurs
ɑːnti	auntie aunty
ɔːɹəli	aurally orally
ɔːɹəl	aural oral
ɔːɹɐ	aura ora
ɔːɹɪəʊl	aureole oriole
ɔːɹɪəʊlz	aureoles orioles
eɪvɪən	avian avion
ævəkɑːdəʊz	avocadoes avocados
ɔːd	awed oared
aɪɐ	ayah eyre
bɑːɹɪŋ	baaing barring
bɑːbɐ	baba barber
bɑːbəz	babas barbers
bædi	baddie baddy
beɪd	bade bayed
bæɡi	baggie baggy
beɪld	bailed baled
beɪlɐ	bailer baler
beɪli	bailey bailie
beɪlɪŋ	bailing baling
beɪlz	bails bales
beɪt	bait bate
beɪtɪd	baited bated
beɪtɪŋ	baiting bating
beɪts	baits bates
beɪz	baize bays
bɔːl	ball bawl
bɔːlɪŋ	balling bawling
bɔːlz	balls bawls
bɑːm	balm barm
bɑːmi	balmy barmy
bələʊni	baloney bologna
bænd	band banned
bændɪd	banded bandied
bænɪstɐ	banister bannister
bænɪstəz	banisters bannisters
bænz	banns bans
beə	bare bear
beəɹɐ	barer bearer
beəz	bares bears
beəɹɪŋ	baring bearing
bɑːk	bark barque
bɑːks	barks barques
bæɹən	baron barren
bæɹənz	barons barrens
bɑːz	barres bars
bæsɪnɛt	bascinet bassinet
beɪst	based baste
bæt	bat batt
bætən	baton batten
bætənz	batons battens
beɪ	bay bey
biːtʃ	beach beech
biːtʃɪz	beaches beeches
biːn	bean been
biːt	beat beet
biːtɐ	beater beta
biːtəz	beaters betas
biːts	beats beets
bəʊ	beau beaux
biə	beer bier
biəz	beers biers
bɪɡɪn	begin biggin
bɪɡɪnz	begins biggins
bɪheɪvjəɹəl	behavioral behavioural
bɪheɪvjɐ	behavior behaviour
bɛl	bell belle
bɛlz	belles bells
bɪləʊ	below billow
bɛnɪfɪtɪd	benefited benefitted
bɛnɪfɪtɪŋ	benefiting benefitting
bɛnziːn	benzene benzine
bɜːɡz	bergs burghs
bɜːk	berk burke
bɜːks	berks burkes
bɛɹɪd	berried buried
bɛɹɪz	berries buries
bɛɹi	berry bury
bɜːθ	berth birth
bɜːθd	berthed birthed
bɜːθɪŋ	berthing birthing
bɜːθs	berths births
bɛtɐ	betta better
bɛtəz	betters bettors
bɛvəld	beveled bevelled
bɛvi	bevvy bevy
bɪld	billed build
bɜːl	birl burl
baɪts	bites bytes
bɪts	bits bitts
bɪtən	bitten bittern
bluː	blew blue
blɒk	bloc block
blɒks	blocks blocs
blɒnd	blond blonde
blɒndz	blondes blonds
blʌdɪd	blooded bloodied
bluːɪŋ	blueing bluing
bluːɪʃ	blueish bluish
bɔːdɐ	boarder border
bɔːdəz	boarders borders
bɔːɹɪʃ	boarish boorish
bɒks	bocce box
bəʊɡi	bogey bogy
bəʊɡɪz	bogeys bogies
bɒɡəl	boggle bogle
bəʊlɐ	bola bowler
bəʊləz	bolas bowlers
bəʊld	bold bowled
bəʊldɐ	bolder boulder
bəʊl	bole bowl
bəʊlz	boles bowls
bɒlʃi	bolshie bolshy
bɒm	bomb bombe
bəʊni	boney bony
bɒni	bonnie bonny
buːz	boos booze
buːti	bootie booty
bɔːɹɐ	bora borer
bɔːt	bort bought
bɔɪ	boy buoy
bɔɪz	boys buoys
bɹiːz	braes breeze
bɹeɪd	braid brayed
bɹeɪzd	braised brazed
bɹeɪzɪŋ	braising brazing
bɹeɪk	brake break
bɹeɪks	brakes breaks
bɹeɪkɪŋ	braking breaking
bɹændɪd	branded brandied
bɹiːtʃ	breach breech
bɹiːtʃɪz	breaches breeches
bɹiːtʃɪŋ	breaching breeching
bɹɛd	bread bred
bɹiːd	brede breed
bɹuːd	brewed brood
bɹuːz	brews bruise
bɹaɪə	briar brier
bɹaɪəz	briars briers
bɹɪki	brickie bricky
bɹaɪdəl	bridal bridle
bɹaɪdəlz	bridals bridles
bɹəʊtʃ	broach brooch
bɹɒk	broch brock
bɹaʊz	brows browse
bɹuːt	bruit brute
bʌkəl	buccal buckle
bʌdʒɪz	budges budgies
bʌfələʊz	buffaloes buffalos
bʌmf	bumf bumph
bjɔːɹəʊ	bureau bureaux
bɜːɡəz	burgers burghers
bɜːli	burley burly
bʌɹəʊ	burro burrow
bʌɹəʊz	burros burrows
bɜːz	burrs burs
bɜːsɐ	bursa bursar
bʌs	bus buss
bʌsɪz	buses busses
bʌsɪŋ	busing bussing
bʌst	bussed bust
baɪəz	buyers byres
baɪz	buys byes
kæbi	cabbie cabby
kæb	cab kab
kæʃt	cached cashed
kæʃ	cache cash
kæʃɪz	caches cashes
kæʃɪŋ	caching cashing
kædɪz	caddies caddis
kædɪʃ	caddish kaddish
kɑːdɐ	cadre carder
siːseəɹiən	caesarean caesarian
keɪdʒi	cagey cagy
keɪmən	caiman cayman
keɪmənz	caimans caymans
keɪn	cain cane
keəd	caird cared
kæləndɐ	calendar calender
kælɪpɐ	caliper calliper
kælɪpəz	calipers callipers
kælɪf	caliph kalif
kɔːl	call caul
kæləs	callous callus
kɑːmɐ	calmer karma
kɑːvd	calved carved
kɑːv	calve carve
kɑːvz	calves carves
kɑːvɪŋ	calving carving
kæməmaɪl	camomile chamomile
kændɪd	candid candied
kænən	cannon canon
kænənz	cannons canons
kænvəst	canvased canvassed
kænvəsɪz	canvases canvasses
kænvəsɪŋ	canvasing canvassing
kænvəs	canvas canvass
kæpɪtəl	capital capitol
kæpɐ	capper kappa
kæɹæt	carat karat
kæɹət	caret carrot
kɑːɡəʊz	cargoes cargos
kɑː	car ka
kɑːpəl	carpal carpel
kɑːvɐ	carver kava
kæʃmiə	cashmere kashmir
kæʃɐ	cassia kasha
kɑːstɐ	caster castor
kɑːstəz	casters castors
kɑːsts	castes casts
kæt	cat kat
kɔːdɐ	cauda corder
kɔːt	caught court
kɒliz	caulis collies
kɔːkt	caulked corked
kɔːkɐ	caulker corker
kɔːkəz	caulkers corkers
kɔːkɪŋ	caulking corking
kɔːk	caulk cork
kɔːsəz	causers coursers
kɔːɹɪŋ	cawing coring
keɪ	cay k
siːdɐ	cedar seeder
siːdəz	cedars seeders
siːdɪd	ceded seeded
siːd	cede seed
siːdɪŋ	ceding seeding
siːlɪŋ	ceiling sealing
sɛlɐ	cellar seller
sɛləz	cellars sellers
sɛl	cell sell
sɛlz	cells sells
kɛlt	celt kelt
sɛntəd	centered centred
sɛntəɹɪŋ	centering centreing
sɛntɐ	center centre
sɛntəz	centers centres
sɛnts	cents scents
siəɹɪəl	cereal serial
siəɹɪəlz	cereals serials
sɛʃən	cession session
tʃeə	chair chare
ʃæpəɹəʊn	chaperon chaperone
tʃæpt	chapped chapt
tʃæpi	chappie chappy
tʃɑːd	chard charred
tʃɑː	cha char
tʃeɪst	chased chaste
tʃɔː	chaw chore
tʃiːp	cheap cheep
tʃiːtəz	cheaters cheetahs
tʃiːtɐ	cheater cheetah
tʃɛkəz	checkers chequers
tʃɛkɐ	checker chequer
tʃɛkɪŋ	checking chequing
tʃɛk	check cheque
tʃɛdɐ	cheddar cheder
ʃeɪ	chez shay
tʃaɪm	chime chyme
tʃɪpi	chippie chippy
tʃɒks	chocks chocs
tʃɒk	choc chock
kwaɪə	choir quire
kwaɪəz	choirs quires
kɒlɐ	cholla collar
kɔːdz	chords cords
tʃəʊz	chose choughs
tʃaʊ	chow ciao
kɹɪsti	christie christy
tʃʌkəz	chukkas chukkers
ʃuːts	chutes shoots
ʃuːt	chute shoot
sɪliɐ	cilia sillier
sɪnk	cinque synch
sɪst	cist cyst
klæk	clack claque
klæks	clacks claques
klæŋɡɐ	clanger clangour
klɔːz	clause claws
kliːk	cleek clique
kluː	clew clue
kluːz	clews clues
klaɪm	climb clime
klaɪmz	climbs climes
kəʊlz	coals coles
kəʊt	coat cote
kəʊts	coats cotes
kɒbəl	cobble coble
kɒb	cob kob
kɒkskəʊm	cockscomb coxcomb
kɒks	cocks cox
kəʊkəʊ	coco cocoa
kəʊkəʊz	cocoas cocos
kəʊdɐ	coda coder
kəʊdəz	codas coders
kɒdlɪŋ	coddling codling
kɒf	coff cough
kəlɛktəbəl	collectable collectible
kəlɛktəbəlz	collectables collectibles
kɒli	collie colly
kɜːnəl	colonel kernel
kɜːnəlz	colonels kernels
kəʊlənz	colones colons
kʌləɹeɪʃən	coloration colouration
kʌləd	colored coloured
kʌləz	colors colours
kɒmbætɪŋ	combating combatting
kʌmɪŋ	coming cumming
kəmændəʊz	commandoes commandos
kəmpæktɐ	compacter compactor
kəmpliːt	compleat complete
kɒmplɪmɛntəɹi	complementary complimentary
kɒmplɪməntɪd	complemented complimented
kɒmplɪməntɪŋ	complementing complimenting
kənfɛkʃənəɹi	confectionary confectionery
kʌndʒjʊɹɐ	conjurer conjuror
kʌndʒjʊɹəz	conjurers conjurors
kɒnkɐ	conker conquer
kɒnkəz	conkers conquers
kɒn	con conn
kənɛktɐ	connecter connector
kəntɪnjuːɐ	continua continuer
kənvɛnɐ	convener convenor
kənvɜːtɐ	converter convertor
kənvɜːtəz	converters convertors
kənveɪɐ	conveyer conveyor
kənveɪəz	conveyers conveyors
kʊki	cookie cooky
kuːli	coolie coolly
kuːliz	coolies coulis
kuːm	coom coomb
kɒp	cop kop
kɒps	cops copse
kɒpi	copy kopje
kɔːnɪt	cornet cornett
kɒs	coss kos
kaʊnsəl	council counsel
kaʊnsəlz	councils counsels
kuːp	coup coupe
kaʊəd	coward cowered
kaʊɹi	cowrie cowry
kɹɑːft	craft kraft
kɹeɪt	crate krait
kɹeɪts	crates kraits
kɹeɪzɪz	crazes crazies
kɹiːk	creak creek
kɹiːks	creaks creeks
kɹiːm	cream creme
kɹiːmz	creams cremes
kɹuːd	crewed crude
kɹuː	crew cru
kɹəʊn	crone krone
kɹəʊzɪɐ	crosier crozier
kɹɒs	cross crosse
kɹuːələst	cruelest cruellest
kjuːbɪkəl	cubical cubicle
kjuːd	cued queued
kjuːz	cues queues
kʌmkwæt	cumquat kumquat
kjuːmjʊləs	cumulous cumulus
kɜːbɪŋ	curbing kerbing
kɜːb	curb kerb
kɜːbz	curbs kerbs
kʌɹɪz	curies curries
kʌɹənt	currant current
kʌɹənts	currants currents
kʌɹɪkjʊlɐ	curricula curricular
kɜːtsɪd	curtseyed curtsied
kɜːtsɪɪŋ	curtseying curtsying
kɜːtsi	curtsey curtsy
kɜːtsɪz	curtseys curtsies
kɜːveɪʃəs	curvaceous curvacious
kjuːti	cutey cutie
sɪɡnɪt	cygnet signet
sɪɡnɪts	cygnets signets
sɪmbəl	cymbal symbol
sɪmbəlz	cymbals symbols
tsɑːɹɪst	czarist tsarist
diːmən	daemon demon
diːmɒnɪk	daemonic demonic
dæm	dam damn
dæmd	dammed damned
dæmɪŋ	damming damning
dæmz	damns dams
dɑːbɪz	darbies derbies
dɑːki	darkie darky
deɪtəbəl	datable dateable
deɪtɐ	data dater
dɔːb	daub daube
dɔːz	daws doors
deɪ	day dey
deɪz	days daze
dɛdənz	deadens dedans
diːn	dean dene
diə	dear deer
diəɹi	dearie deary
diəz	dears deers
dɛbəneə	debonair debonaire
dɛkəʊ	deco dekko
diːm	deem deme
dɪfjuːzd	defused diffused
dɪfjuːzɪz	defuses diffuses
dɪfjuːzɪŋ	defusing diffusing
dɪmiːnɐ	demeanor demeanour
dɪpɛndəns	dependance dependence
dɪpɛndənsi	dependancy dependency
dɪpɛndənt	dependant dependent
dɪpɛndənts	dependants dependents
dɪplɔɪd	deployed diploid
dɪsɛndənt	descendant descendent
dɪsɛndənts	descendants descendents
dɪsɛnt	descent dissent
dɪsɛnts	descents dissents
dɪspætʃ	despatch dispatch
dɪspætʃt	despatched dispatched
dɪspætʃɪz	despatches dispatches
dɪspætʃɪŋ	despatching dispatching
dɪspəɹɑːdəʊz	desperadoes desperados
djuːs	deuce duce
djuː	dew due
djuːz	dews dues
dəʊl	dhole dole
dəʊlz	dholes doles
daɪəlɒɡ	dialog dialogue
daɪ	die dye
daɪd	died dyed
daɪz	dies dyes
daɪətɪʃən	dietician dietitian
daɪətɪʃənz	dieticians dietitians
daɪk	dike dyke
daɪks	dikes dykes
daɪn	dine dyne
dɪsk	disc disk
dɪskʌləɹeɪʃən	discoloration discolouration
dɪskɹiːt	discreet discrete
dɪskɹiːtli	discreetly discretely
dɪsks	discs disks
dɪs	dis diss
dɪsjuːs	diseuse disuse
dɪsɹʌptɐ	disrupter disruptor
dɪtsi	ditsy ditzy
dɒk	doc dock
dɒks	docks docs
dɒɡi	doggie doggy
dɒlɐ	dollar dolor
dɒləz	dollars dolours
dəmeɪn	domain domaine
dɒmɪnəʊz	dominoes dominos
dəʊnɐ	dona donor
dʌn	done dun
dəʊnʌt	donut doughnut
dəʊnʌts	donuts doughnuts
dəʊpɐ	dopa doper
dɒs	dos doss
daʊs	douce douse
dəʊz	doughs doze
dɔɪən	doyen doyenne
dɹɑːft	draft draught
dɹɑːfts	drafts draughts
dɹɛdnɔːt	dreadnaught dreadnought
dɹaɪəz	driers dryers
dɹaɪz	dries drys
dɹaɪəst	driest dryest
dɹuːp	droop drupe
dɹʌɡi	druggie druggy
djuːəl	dual duel
djuːəlɪsts	dualists duellists
dʌkt	ducked duct
dʌks	ducks dux
daɪɪŋ	dyeing dying
iəɹɪŋ	earing earring
ɜːnz	earns urns
iːz	ease es
iːv	eave eve
iːvz	eaves eves
ɛkəʊz	echoes echos
ɛtʃt	echt etched
iːk	eek eke
ɛft	effed eft
aɪd	eide eyed
ɪlɪsɪt	elicit illicit
ɛl	ell l
ɛlz	ells els
ɪluːsɪv	elusive illusive
ɛm	em m
ɪmɜːsd	emersed immersed
ɪmɜːʃən	emersion immersion
ɛn	en n
ɛnɹəʊl	enrol enroll
ɛnɹəʊlmənt	enrollment enrolment
ɪnjuːməɹeɪt	enumerate innumerate
ɛnvɔɪ	envoi envoy
ɜː	er err
ɜːk	erk irk
ɛs	esse s
juːkɐ	euchre yucca
ɛks	ex x
ɛksəsaɪzd	exercised exorcised
ɛksəsaɪz	exercise exorcise
ɛksəsaɪzɪŋ	exercising exorcising
ɛkstɹəvɜːʃən	extraversion extroversion
aɪ	eye i
aɪɪŋ	eyeing eying
aɪlət	eyelet islet
aɪləts	eyelets islets
fæsɛtɪd	faceted facetted
feəɹɪz	faeries fairies
fɑː	fa far
feɪnt	faint feint
feɪntɪŋ	fainting feinting
feəɹɐ	fairer farer
feə	fair fare
feəɹɪŋ	fairing faring
feəz	fairs fares
fæləsɪz	fallacies phalluses
fæɹəʊ	faro farrow
fæɹəʊz	farrows pharos
fɑːðɐ	farther father
feɪtɪd	fated feted
fæt	fat phat
fɔːn	faun fawn
fɔːnz	fauns fawns
fəʊ	faux foe
feɪvəɹəbəl	favorable favourable
feɪvɐ	favor favour
feɪvəɹɪtɪzəm	favoritism favouritism
feɪ	fay fey
feɪzd	fazed phased
feɪz	faze phase
feɪzɪz	fazes phases
feɪzɪŋ	fazing phasing
fiːt	feat feet
fiːlɐ	feeler fila
fɛləz	fellas fellers
fɜːn	fern firn
fɛst	fessed fest
fiːtəs	fetus foetus
fɛzɪz	fezes fezzes
fɪbjʊlɐ	fibula fibular
faɪ	fie phi
faɪlɐ	filer phyla
fɪlz	fills fils
faɪnd	find fined
fɪʃɐ	fisher fissure
fɪʃəz	fishers fissures
fɪʃ	fish phish
fɪʃɪŋ	fishing phishing
fɪz	fizz phiz
flæk	flack flak
flæks	flacks flax
fleə	flair flare
fleəz	flairs flares
fleɪki	flakey flaky
flɛmɪŋɡəʊz	flamingoes flamingos
fleɪvɐ	flavor flavour
flɔːd	flawed floored
flɔː	flaw floor
flɔːz	flaws floors
fliː	flea flee
fliːz	fleas flees
flɛks	flecks flex
flɛdʒlɪŋ	fledgeling fledgling
flɛdʒlɪŋz	fledgelings fledglings
flaɪəz	fliers flyers
fləʊteɪʃən	floatation flotation
flɒks	flocks phlox
fləʊ	floe flow
fləʊz	floes flows
fluːzi	floozie floozy
flaʊəd	floured flowered
flaʊəɹɪŋ	flouring flowering
flaʊəɹi	floury flowery
flʌŋki	flunkey flunky
fəʊld	foaled fold
fʊti	footie footy
fɔːɡəʊ	forego forgo
fɔːɡəʊɪŋ	foregoing forgoing
fɔːɡɒn	foregone forgone
fɔːz	fores fours
fɔːsweə	foreswear forswear
fɔːməli	formally formerly
fɔːt	fort fought
fɔːθ	forth fourth
faʊl	foul fowl
faʊlɪŋ	fouling fowling
faʊlz	fouls fowls
fɹiː	frae free
fɹeɪz	fraise phrase
fɹeɪzɪz	fraises phrases
fɹɑːntʃaɪzɐ	franchiser franchisor
fɹæps	frappes fraps
fɹeɪtɐ	frater freighter
fɹiːzɪz	freezes friezes
fɹɛskəʊz	frescoes frescos
fɹaɪə	friar frier
fɹaɪz	fries frise
fɹəʊ	fro froe
fʌnəst	funest funnest
ɡæf	gaff gaffe
ɡæfs	gaffes gaffs
ɡeɪdʒ	gage gauge
ɡeɪdʒɪz	gages gauges
ɡeɪtɪd	gaited gated
ɡeɪtəz	gaiters gators
ɡeɪt	gait gate
ɡeɪts	gaits gates
ɡæləp	gallop galop
ɡeɪmi	gamey gamy
ɡæŋstɐ	gangsta gangster
ɡæŋstəz	gangstas gangsters
ɡæsɪz	gases gasses
ɡæt	gat ghat
ɡætəʊ	gateau gateaux
ɡæts	gats ghats
ɡɔː	gaur gore
ɡɔːz	gauze gores
ɡeɪz	gays gaze
dʒiː	g gee
ɡiːzɐ	geezer geyser
ɡiːzəz	geezers geysers
dʒɛlɪŋ	gelling jelling
dʒɛmɒlədʒɪst	gemmologist gemologist
dʒɛmi	gemmy jemmy
dʒiːnz	genes jeans
dʒɛnɪt	genet jennet
dʒɛnɪz	genies jennies
dʒɛnts	gentes gents
dʒɛntəlmən	gentleman gentlemen
dʒɛst	gest jest
ɡɛtəʊz	ghettoes ghettos
dʒɪbɐ	gibber jibber
dʒɪb	gib jib
dʒaɪbz	gibes jibes
ɡɪldɐ	gilder guilder
ɡɪldəz	gilders guilders
ɡɪld	gild guild
ɡɪldz	gilds guilds
ɡɪlt	gilt guilt
dʒɪn	gin jinn
dʒɪŋk	gink jink
dʒɪp	gip gyp
dʒɪpsi	gipsy gypsy
ɡɜːli	girlie girly
dʒaɪɹəʊ	giro gyro
dʒaɪɹəʊz	giros gyros
ɡlɒsɪz	glosses glossies
ɡluːɪŋ	glueing gluing
nɔː	gnaw nor
ɡəʊɐ	goa goer
ɡɒdæm	goddam goddamn
ɡəʊfɐ	gofer gopher
ɡʊdi	goodie goody
ɡɹeɪd	grade greyed
ɡɹændæd	grandad granddad
ɡɹændædz	grandads granddads
ɡɹæni	grannie granny
ɡɹeɪt	grate great
ɡɹeɪtɐ	grater greater
ɡɹeɪts	grates greats
ɡɹeɪ	gray grey
ɡɹiːv	greave grieve
ɡɹiːvz	greaves grieves
ɡɹiː	gre gree
ɡɹɪl	grill grille
ɡɹɪlz	grilles grills
ɡɹɪp	grip grippe
ɡɹəʊn	groan grown
ɡɹəʊsɐ	grocer grosser
ɡɹɔɪn	groin groyne
ɡɹɔɪnz	groins groynes
ɡɹɒtəʊz	grottoes grottos
ɡɹɒvəlɪŋ	groveling grovelling
ɡɹuːəlɪŋ	grueling gruelling
ɡɛɹɪlɐ	guerilla guerrilla
ɡɛɹɪləz	guerillas guerrillas
ɡɛst	guessed guest
ɡaɪd	guide guyed
ɡaɪz	guise guys
ɡʌli	gulley gully
ɡʌsi	gussie gussy
ɡʌtɐ	gutta gutter
dʒaɪb	gybe jibe
dʒaɪbɪŋ	gybing jibing
hædʒi	hadji haji
heɪlɐ	hailer haler
heɪl	hail hale
heɪlz	hails hales
heəd	haired hared
heə	hair hare
heəz	hairs hares
hælɪluːjɐ	halleluiah hallelujah
hɔːl	hall haul
hæləʊ	hallo hallow
hɔːlz	halls hauls
heɪləʊz	haloes halos
hændmeɪd	handmade handmaid
hæŋki	hankie hanky
hɑːbɐ	harbor harbour
hɑːkən	harken hearken
hɑːt	hart heart
hɑːts	harts hearts
heɪst	hast haste
heɪ	hay hey
heɪz	hays haze
hiːld	healed heeled
hiːlɐ	healer heeler
hiːl	heal heel
hiːlɪŋ	healing heeling
hiːlz	heals heels
hɜːd	heard herd
hiə	hear here
hiəz	hears heres
hiəɹəʊz	heroes heros
hɛɹəʊɪn	heroin heroine
hɜːts	hertz hurts
hjuːd	hewed hued
hɪk	hic hick
haɪɐ	higher hiya
haɪəz	highers hires
hɪm	him hymn
hɪmz	hims hymns
hɪpi	hippie hippy
həʊdʒi	hoagie hoagy
hɔːdɪd	hoarded horded
hɔːdɪŋ	hoarding hording
hɔːdz	hoards hordes
hɔːs	hoarse horse
həʊld	hold holed
həʊl	hole whole
həʊlz	holes wholes
həʊm	holm home
həʊmɪz	homeys homies
ɒnəɹəbəl	honorable honourable
ɒnəd	honored honoured
ɒnɐ	honor honour
ɒnəz	honors honours
huː	hoo who
hʊki	hookey hooky
hɔːɹɐ	hoorah hora
hɔːsi	horsey horsy
hjuːməs	houmous humus
